order_id,order_date,region,product,customer_segment,units,revenue,cost,profit
ORD-2023-0001,2023-01-02,Latin America,Starter Bundle,Mid-Market,3,411.21,239.11,172.1
ORD-2023-0002,2023-01-02,North America,Starter Bundle,Small Business,2,326.06,173.42,152.64
ORD-2023-0003,2023-01-05,North America,Professional Plan,Mid-Market,8,3328.4,1588.09,1740.31
ORD-2023-0004,2023-01-09,North America,Starter Bundle,Enterprise,18,2530.62,1358.96,1171.66
ORD-2023-0005,2023-01-13,Latin America,Add-on Module,Enterprise,5,402.75,124.36,278.39
ORD-2023-0006,2023-01-14,Asia-Pacific,Enterprise Suite,Small Business,3,3527.28,1401.64,2125.64
ORD-2023-0007,2023-01-15,North America,Professional Plan,Mid-Market,2,847.0,370.71,476.29
ORD-2023-0008,2023-01-15,Europe,Professional Plan,Mid-Market,3,1305.03,607.53,697.5
ORD-2023-0009,2023-01-21,Asia-Pacific,Add-on Module,Enterprise,15,1220.1,382.65,837.45
ORD-2023-0010,2023-01-21,Europe,Enterprise Suite,Enterprise,6,7802.58,2749.57,5053.01
ORD-2023-0011,2023-01-22,Europe,Enterprise Suite,Enterprise,16,20784.96,7919.59,12865.37
ORD-2023-0012,2023-01-28,North America,Professional Plan,Mid-Market,2,899.7,417.5,482.2
ORD-2023-0013,2023-01-28,North America,Starter Bundle,Mid-Market,9,1299.06,701.94,597.12
ORD-2023-0014,2023-01-29,Asia-Pacific,Professional Plan,Mid-Market,4,1847.6,910.98,936.62
ORD-2023-0015,2023-02-02,Latin America,Enterprise Suite,Mid-Market,6,7221.84,2307.86,4913.98
ORD-2023-0016,2023-02-04,Europe,Add-on Module,Small Business,1,69.73,22.19,47.54
ORD-2023-0017,2023-02-04,North America,Professional Plan,Mid-Market,5,2265.8,1089.42,1176.38
ORD-2023-0018,2023-02-05,North America,Enterprise Suite,Mid-Market,8,9783.12,3877.36,5905.76
ORD-2023-0019,2023-02-08,Asia-Pacific,Professional Plan,Small Business,3,1330.23,581.07,749.16
ORD-2023-0020,2023-02-10,Asia-Pacific,Starter Bundle,Mid-Market,7,988.05,567.98,420.07
ORD-2023-0021,2023-02-10,Asia-Pacific,Professional Plan,Mid-Market,6,2634.0,1143.64,1490.36
ORD-2023-0022,2023-02-11,Asia-Pacific,Professional Plan,Small Business,3,1232.73,540.61,692.12
ORD-2023-0023,2023-02-13,Europe,Enterprise Suite,Small Business,3,3619.92,1291.73,2328.19
ORD-2023-0024,2023-02-13,North America,Enterprise Suite,Enterprise,21,24699.78,8761.27,15938.51
ORD-2023-0025,2023-02-14,North America,Enterprise Suite,Small Business,3,3314.16,1238.66,2075.5
ORD-2023-0026,2023-02-17,Asia-Pacific,Professional Plan,Mid-Market,8,3921.2,1832.41,2088.79
ORD-2023-0027,2023-02-18,Europe,Starter Bundle,Enterprise,14,2266.88,1258.56,1008.32
ORD-2023-0028,2023-02-19,North America,Add-on Module,Mid-Market,2,135.76,46.4,89.36
ORD-2023-0029,2023-02-20,North America,Add-on Module,Small Business,2,161.0,51.34,109.66
ORD-2023-0030,2023-02-21,Europe,Enterprise Suite,Mid-Market,2,2266.54,866.89,1399.65
ORD-2023-0031,2023-02-21,North America,Enterprise Suite,Mid-Market,4,4805.28,1690.11,3115.17
ORD-2023-0032,2023-02-22,North America,Professional Plan,Mid-Market,2,953.98,459.09,494.89
ORD-2023-0033,2023-02-22,Europe,Add-on Module,Enterprise,5,379.25,110.14,269.11
ORD-2023-0034,2023-02-22,Europe,Enterprise Suite,Enterprise,7,7968.52,2717.01,5251.51
ORD-2023-0035,2023-02-23,Europe,Starter Bundle,Enterprise,18,2878.38,1619.85,1258.53
ORD-2023-0036,2023-02-23,North America,Starter Bundle,Enterprise,9,1253.07,704.51,548.56
ORD-2023-0037,2023-02-24,Asia-Pacific,Enterprise Suite,Enterprise,20,22017.2,7672.8,14344.4
ORD-2023-0038,2023-02-28,North America,Enterprise Suite,Enterprise,5,5649.45,2258.41,3391.04
ORD-2023-0039,2023-03-03,North America,Add-on Module,Mid-Market,6,483.9,143.96,339.94
ORD-2023-0040,2023-03-03,Asia-Pacific,Add-on Module,Enterprise,22,1779.58,501.15,1278.43
ORD-2023-0041,2023-03-04,Europe,Professional Plan,Mid-Market,5,2176.15,946.64,1229.51
ORD-2023-0042,2023-03-04,Asia-Pacific,Add-on Module,Small Business,3,229.05,75.95,153.1
ORD-2023-0043,2023-03-06,Europe,Starter Bundle,Mid-Market,6,872.16,471.6,400.56
ORD-2023-0044,2023-03-07,Europe,Starter Bundle,Mid-Market,2,296.16,168.45,127.71
ORD-2023-0045,2023-03-13,North America,Enterprise Suite,Enterprise,24,31533.36,10598.69,20934.67
ORD-2023-0046,2023-03-22,North America,Add-on Module,Enterprise,350,420000.0,150000.0,270000.0
ORD-2023-0047,2023-03-22,North America,Professional Plan,Enterprise,18,8053.2,3873.42,4179.78
ORD-2023-0048,2023-03-22,North America,Starter Bundle,Enterprise,22,2984.74,1702.14,1282.6
ORD-2023-0049,2023-03-27,Latin America,Starter Bundle,Enterprise,12,1871.64,1052.71,818.93
ORD-2023-0050,2023-03-29,North America,Professional Plan,Enterprise,13,5428.02,2357.4,3070.62
ORD-2023-0051,2023-03-30,Asia-Pacific,Professional Plan,Enterprise,8,3335.2,1432.83,1902.37
ORD-2023-0052,2023-04-02,Europe,Starter Bundle,Enterprise,6,859.02,502.46,356.56
ORD-2023-0053,2023-04-06,Asia-Pacific,Starter Bundle,Mid-Market,3,452.67,243.68,208.99
ORD-2023-0054,2023-04-06,Europe,Professional Plan,Enterprise,13,5585.58,2537.96,3047.62
ORD-2023-0055,2023-04-07,Europe,Starter Bundle,Mid-Market,2,299.84,163.07,136.77
ORD-2023-0056,2023-04-08,Europe,Enterprise Suite,Mid-Market,6,6495.84,2536.19,3959.65
ORD-2023-0057,2023-04-09,North America,Enterprise Suite,Mid-Market,2,2287.92,778.19,1509.73
ORD-2023-0058,2023-04-10,Asia-Pacific,Professional Plan,Enterprise,6,2754.3,1229.66,1524.64
ORD-2023-0059,2023-04-11,North America,Add-on Module,Small Business,3,228.3,63.86,164.44
ORD-2023-0060,2023-04-11,North America,Professional Plan,Mid-Market,6,2636.88,1204.78,1432.1
ORD-2023-0061,2023-04-13,Europe,Professional Plan,Enterprise,6,2519.82,1111.82,1408.0
ORD-2023-0062,2023-04-13,North America,Add-on Module,Small Business,3,206.58,59.05,147.53
ORD-2023-0063,2023-04-16,Latin America,Add-on Module,Small Business,1,73.34,24.18,49.16
ORD-2023-0064,2023-04-17,Latin America,Add-on Module,Enterprise,8,626.32,206.04,420.28
ORD-2023-0065,2023-04-18,Latin America,Enterprise Suite,Enterprise,7,9154.81,3373.39,5781.42
ORD-2023-0066,2023-04-23,North America,Starter Bundle,Small Business,2,278.1,155.1,123.0
ORD-2023-0067,2023-04-23,North America,Enterprise Suite,Mid-Market,3,3262.44,1239.2,2023.24
ORD-2023-0068,2023-04-23,Latin America,Starter Bundle,Enterprise,7,1121.75,601.8,519.95
ORD-2023-0069,2023-04-23,Europe,Enterprise Suite,Enterprise,17,18991.04,6634.11,12356.93
ORD-2023-0070,2023-04-26,Latin America,Starter Bundle,Mid-Market,3,414.6,241.13,173.47
ORD-2023-0071,2023-05-01,Latin America,Enterprise Suite,Mid-Market,2,2358.14,807.51,1550.63
ORD-2023-0072,2023-05-02,Asia-Pacific,Add-on Module,Mid-Market,9,666.18,222.22,443.96
ORD-2023-0073,2023-05-03,North America,Professional Plan,Mid-Market,4,1648.0,813.84,834.16
ORD-2023-0074,2023-05-04,North America,Enterprise Suite,Mid-Market,4,4581.24,1613.17,2968.07
ORD-2023-0075,2023-05-06,Asia-Pacific,Starter Bundle,Mid-Market,4,577.76,311.28,266.48
ORD-2023-0076,2023-05-08,North America,Add-on Module,Enterprise,21,1460.55,393.66,1066.89
ORD-2023-0077,2023-05-08,North America,Enterprise Suite,Enterprise,21,23613.03,8411.18,15201.85
ORD-2023-0078,2023-05-09,Europe,Enterprise Suite,Mid-Market,9,11358.09,3952.72,7405.37
ORD-2023-0079,2023-05-10,Latin America,Add-on Module,Small Business,1,77.38,22.67,54.71
ORD-2023-0080,2023-05-10,Europe,Enterprise Suite,Mid-Market,7,9207.38,2998.53,6208.85
ORD-2023-0081,2023-05-11,Europe,Professional Plan,Mid-Market,5,2124.55,899.5,1225.05
ORD-2023-0082,2023-05-11,North America,Enterprise Suite,Enterprise,17,21093.26,8400.77,12692.49
ORD-2023-0083,2023-05-11,Europe,Professional Plan,Mid-Market,9,4394.43,2114.11,2280.32
ORD-2023-0084,2023-05-14,Latin America,Professional Plan,Mid-Market,6,2685.54,1266.58,1418.96
ORD-2023-0085,2023-05-15,North America,Add-on Module,Enterprise,19,1481.24,487.24,994.0
ORD-2023-0086,2023-05-15,Europe,Enterprise Suite,Enterprise,20,22153.4,8116.14,14037.26
ORD-2023-0087,2023-05-16,Asia-Pacific,Add-on Module,Mid-Market,6,447.66,124.25,323.41
ORD-2023-0088,2023-05-17,Asia-Pacific,Enterprise Suite,Enterprise,11,13081.53,4681.28,8400.25
ORD-2023-0089,2023-05-19,Europe,Enterprise Suite,Mid-Market,8,8711.04,3062.93,5648.11
ORD-2023-0090,2023-05-23,Asia-Pacific,Starter Bundle,Enterprise,7,1062.74,592.86,469.88
ORD-2023-0091,2023-05-24,North America,Enterprise Suite,Mid-Market,4,4988.44,1862.09,3126.35
ORD-2023-0092,2023-05-27,North America,Add-on Module,Enterprise,16,1217.44,344.34,873.1
ORD-2023-0093,2023-05-28,Asia-Pacific,Professional Plan,Small Business,1,464.55,204.98,259.57
ORD-2023-0094,2023-05-28,Asia-Pacific,Enterprise Suite,Mid-Market,2,2585.26,904.74,1680.52
ORD-2023-0095,2023-05-30,Asia-Pacific,Starter Bundle,Mid-Market,7,1032.71,577.26,455.45
ORD-2023-0096,2023-06-01,Latin America,Add-on Module,Small Business,2,135.64,37.49,98.15
ORD-2023-0097,2023-06-01,Europe,Enterprise Suite,Mid-Market,6,7032.9,2273.01,4759.89
ORD-2023-0098,2023-06-06,Europe,Add-on Module,Enterprise,11,744.04,261.31,482.73
ORD-2023-0099,2023-06-09,Asia-Pacific,Starter Bundle,Mid-Market,2,294.12,164.1,130.02
ORD-2023-0100,2023-06-09,Europe,Starter Bundle,Mid-Market,2,304.84,173.79,131.05
ORD-2023-0101,2023-06-09,Asia-Pacific,Add-on Module,Mid-Market,2,158.04,50.25,107.79
ORD-2023-0102,2023-06-10,Asia-Pacific,Enterprise Suite,Mid-Market,8,9643.2,3279.87,6363.33
ORD-2023-0103,2023-06-11,Asia-Pacific,Professional Plan,Enterprise,21,8713.74,4083.65,4630.09
ORD-2023-0104,2023-06-12,North America,Starter Bundle,Enterprise,22,3165.58,1811.77,1353.81
ORD-2023-0105,2023-06-14,North America,Enterprise Suite,Mid-Market,2,2293.08,745.43,1547.65
ORD-2023-0106,2023-06-16,North America,Enterprise Suite,Mid-Market,8,9461.36,3496.2,5965.16
ORD-2023-0107,2023-06-19,Europe,Professional Plan,Mid-Market,9,3745.8,1594.27,2151.53
ORD-2023-0108,2023-06-19,North America,Starter Bundle,Mid-Market,6,951.54,552.63,398.91
ORD-2023-0109,2023-06-20,Europe,Starter Bundle,Small Business,2,328.94,175.74,153.2
ORD-2023-0110,2023-06-21,Europe,Enterprise Suite,Mid-Market,9,10729.62,3757.16,6972.46
ORD-2023-0111,2023-06-21,North America,Enterprise Suite,Enterprise,11,14496.68,5543.87,8952.81
ORD-2023-0112,2023-06-21,Europe,Professional Plan,Enterprise,24,11529.6,5505.55,6024.05
ORD-2023-0113,2023-06-24,North America,Professional Plan,Enterprise,20,3000.0,48000.0,-45000.0
ORD-2023-0114,2023-06-28,North America,Starter Bundle,Enterprise,6,879.12,513.28,365.84
ORD-2023-0115,2023-06-29,Asia-Pacific,Add-on Module,Enterprise,7,559.23,158.33,400.9
ORD-2023-0116,2023-07-03,North America,Starter Bundle,Enterprise,19,2688.31,1493.84,1194.47
ORD-2023-0117,2023-07-06,North America,Enterprise Suite,Enterprise,24,31650.72,12258.51,19392.21
ORD-2023-0118,2023-07-06,Europe,Starter Bundle,Enterprise,14,2106.44,1173.85,932.59
ORD-2023-0119,2023-07-06,Asia-Pacific,Add-on Module,Small Business,1,69.81,19.67,50.14
ORD-2023-0120,2023-07-07,North America,Professional Plan,Enterprise,10,4610.6,2031.09,2579.51
ORD-2023-0121,2023-07-07,Europe,Add-on Module,Mid-Market,2,152.78,46.32,106.46
ORD-2023-0122,2023-07-08,North America,Add-on Module,Mid-Market,3,223.08,71.48,151.6
ORD-2023-0123,2023-07-09,North America,Add-on Module,Small Business,3,208.32,57.31,151.01
